"method","frequency","smape","mase","n_series"
"Smyl","Daily",3.1699,3.4463,4227
"Smyl","Hourly",9.3284,0.893,414
"Smyl","Monthly",12.1258,0.8836,48000
"Smyl","Quarterly",9.6789,1.1182,24000
"Smyl","Weekly",7.8171,2.3559,359
"Smyl","Yearly",13.1757,2.9799,23000
"Montero-Manso","Daily",3.0974,3.3445,4227
"Montero-Manso","Hourly",11.5057,0.8186,414
"Montero-Manso","Monthly",12.6395,0.8929,48000
"Montero-Manso","Quarterly",9.7329,1.1109,24000
"Montero-Manso","Weekly",7.6245,2.1076,359
"Montero-Manso","Yearly",13.5283,3.0602,23000
"Pawlikowski","Daily",2.4519,2.6421,4227
"Pawlikowski","Hourly",9.6114,0.8728,414
"Pawlikowski","Monthly",12.7468,0.905,48000
"Pawlikowski","Quarterly",9.7955,1.1254,24000
"Pawlikowski","Weekly",6.9193,2.1578,359
"Pawlikowski","Yearly",13.9432,3.13,23000
"Jaganathan","Daily",3.0372,3.2584,4227
"Jaganathan","Hourly",9.9339,0.9762,414
"Jaganathan","Monthly",12.4866,0.895,48000
"Jaganathan","Quarterly",9.8087,1.1352,24000
"Jaganathan","Weekly",6.8141,2.3498,359
"Jaganathan","Yearly",13.7122,3.1257,23000
"Fiorucci","Daily",2.985,3.1936,4227
"Fiorucci","Hourly",15.5628,1.2034,414
"Fiorucci","Monthly",12.7365,0.9072,48000
"Fiorucci","Quarterly",9.816,1.1217,24000
"Fiorucci","Weekly",8.6273,2.3678,359
"Fiorucci","Yearly",13.6726,3.0463,23000
"Petropoulos","Daily",2.9947,3.2294,4227
"Petropoulos","Hourly",13.1669,1.458,414
"Petropoulos","Monthly",12.8878,0.913,48000
"Petropoulos","Quarterly",9.8003,1.1176,24000
"Petropoulos","Weekly",6.7264,2.1326,359
"Petropoulos","Yearly",13.6689,3.0816,23000
"Shaub","Daily",3.2219,3.4785,4227
"Shaub","Hourly",13.4657,1.372,414
"Shaub","Monthly",12.8391,0.9289,48000
"Shaub","Quarterly",10.3779,1.1979,24000
"Shaub","Weekly",7.8178,2.9467,359
"Shaub","Yearly",13.6794,3.0379,23000
"Legaki","Daily",3.0408,3.2536,4227
"Legaki","Hourly",17.567,2.5574,414
"Legaki","Monthly",13.0023,0.9664,48000
"Legaki","Quarterly",10.1548,1.1983,24000
"Legaki","Weekly",9.1483,2.6012,359
"Legaki","Yearly",13.3656,3.0092,23000
"Doornik","Daily",3.0528,3.284,4227
"Doornik","Hourly",8.9128,0.8006,414
"Doornik","Monthly",12.78,0.931,48000
"Doornik","Quarterly",10.0002,1.163,24000
"Doornik","Weekly",6.7279,2.3016,359
"Doornik","Yearly",13.9097,3.2617,23000
"Pedregal","Daily",3.0258,3.2321,4227
"Pedregal","Hourly",9.7647,1.0492,414
"Pedregal","Monthly",13.1511,0.9433,48000
"Pedregal","Quarterly",10.0928,1.1635,24000
"Pedregal","Weekly",8.989,2.4877,359
"Pedregal","Yearly",13.8209,3.1845,23000
"Spiliotis","Daily",3.0275,3.2319,4227
"Spiliotis","Hourly",17.7558,1.808,414
"Spiliotis","Monthly",13.1424,0.9585,48000
"Spiliotis","Quarterly",10.1284,1.1784,24000
"Spiliotis","Weekly",8.9898,2.4878,359
"Spiliotis","Yearly",13.8035,3.1837,23000
"Roubinchtein","Daily",3.2704,3.6315,4227
"Roubinchtein","Hourly",12.8708,1.1294,414
