model,overall_binary_celltypes_mean,perfect_match_celltypes_mean
Claude 3 Haiku,0.6623365169725949,0.47019647360472494
Claude 3 Opus,0.6983713490336285,0.539305634347404
Claude 3.5 Sonnet,0.7052930434707917,0.535276553513232
Command R Plus,0.5941676097868304,0.3981059189473866
GPT-4,0.6434326395371611,0.44056826099755275
GPT-4o,0.7005638013655342,0.5416969882035362
GPT-4o mini,0.6618149137198394,0.47174184606757114
Gemini 1.5 Flash,0.6084744900716423,0.4139787384196868
Gemini 1.5 Pro,0.6787395249601967,0.5010356469553537
Llama 3.1 405B Instruct,0.649210311742498,0.4728262612135924
Llama 3.1 70B Instruct,0.6159087581744926,0.4558316359762489
Llama 3.1 8B Instruct,0.5254679186736751,0.36607723145729687
Mistral Large,0.6620165401139998,0.4952012031789813
Plurality Vote,0.6943342078979857,0.5488793147000894
