dataset,n_cells,n_genes,n_cell_types,n_batches
Tm_comb_Bladder,3879,11433,5,2
Tm_comb_Heart,4773,8065,7,2
Tm_comb_Kidney,2670,5878,8,2
Tm_comb_Liver,1680,7658,6,2
Tm_comb_Lung,6163,11391,10,2
Tm_comb_Mammary,6345,11376,8,2
Tm_comb_Marrow,8089,10750,9,2
Tm_comb_Muscle,5533,10425,9,2
Tm_comb_Thymus,2726,8135,3,2
Tm_comb_Tongue,8893,11290,2,2
Tm_comb_Trachea,9350,11547,5,2
pancreas_comm_genes,9382,7098,8,3
pancreas_hvg,9382,1898,8,3
sce_umap_BoneMarrow,25567,11410,15,3
sce_umap_Brain,3877,8519,7,2
sce_umap_Liver,4543,7936,14,2
sce_umap_Lung,6474,10117,20,3
sce_umap_MammaryGlandInvolution,4724,7519,20,2
sce_umap_MammaryGlandVirgin,5371,7996,17,4
sce_umap_MesenchymalStemCells,14062,10922,13,2
sce_umap_NeonatalCalvaria,7685,8235,8,2
sce_umap_NeonatalMuscle,4596,7786,23,2
sce_umap_NeonatalRib,6013,8496,19,3
sce_umap_Ovary,4327,9012,13,2
sce_umap_Placenta,4017,7804,20,2
sce_umap_SmallIntestine,6153,9569,19,3
sce_umap_Testis,13787,12969,17,2
sce_umap_Uterus,3635,8960,15,2
sub_panc_hvg_pick,4843,1898,5,3
sub_panc_hvg_rand,2918,1898,9,3
