dataset,method,metric,score
Tm_comb_Bladder,combat,batch_entropy,0.183
Tm_comb_Bladder,combat,cell_type_entropy,0.125
Tm_comb_Bladder,fastmnn,batch_entropy,0.278
Tm_comb_Bladder,fastmnn,cell_type_entropy,0.119
Tm_comb_Bladder,harmony,batch_entropy,0.018
Tm_comb_Bladder,harmony,cell_type_entropy,0.123
Tm_comb_Bladder,limma,batch_entropy,0.012
Tm_comb_Bladder,limma,cell_type_entropy,0.119
Tm_comb_Bladder,logcounts,batch_entropy,0.022
Tm_comb_Bladder,logcounts,cell_type_entropy,0.126
Tm_comb_Bladder,mnncorrect,batch_entropy,0.068
Tm_comb_Bladder,mnncorrect,cell_type_entropy,0.119
Tm_comb_Bladder,scanorama,batch_entropy,0.313
Tm_comb_Bladder,scanorama,cell_type_entropy,0.13
Tm_comb_Bladder,seurat3,batch_entropy,0.817
Tm_comb_Bladder,seurat3,cell_type_entropy,0.129
Tm_comb_Heart,combat,batch_entropy,0.321
Tm_comb_Heart,combat,cell_type_entropy,0.058
Tm_comb_Heart,fastmnn,batch_entropy,0.355
Tm_comb_Heart,fastmnn,cell_type_entropy,0.055
Tm_comb_Heart,harmony,batch_entropy,0.414
Tm_comb_Heart,harmony,cell_type_entropy,0.083
Tm_comb_Heart,limma,batch_entropy,0.082
Tm_comb_Heart,limma,cell_type_entropy,0.049
Tm_comb_Heart,logcounts,batch_entropy,0.021
Tm_comb_Heart,logcounts,cell_type_entropy,0.035
Tm_comb_Heart,mnncorrect,batch_entropy,0.189
Tm_comb_Heart,mnncorrect,cell_type_entropy,0.053
Tm_comb_Heart,scanorama,batch_entropy,0.538
Tm_comb_Heart,scanorama,cell_type_entropy,0.05
Tm_comb_Heart,seurat3,batch_entropy,0.737
Tm_comb_Heart,seurat3,cell_type_entropy,0.062
Tm_comb_Kidney,combat,batch_entropy,0.298
Tm_comb_Kidney,combat,cell_type_entropy,0.07
Tm_comb_Kidney,fastmnn,batch_entropy,0.373
Tm_comb_Kidney,fastmnn,cell_type_entropy,0.085
Tm_comb_Kidney,harmony,batch_entropy,0.349
Tm_comb_Kidney,harmony,cell_type_entropy,0.086
Tm_comb_Kidney,limma,batch_entropy,0.269
Tm_comb_Kidney,limma,cell_type_entropy,0.083
Tm_comb_Kidney,logcounts,batch_entropy,0.077
Tm_comb_Kidney,logcounts,cell_type_entropy,0.082
Tm_comb_Kidney,mnncorrect,batch_entropy,0.4
Tm_comb_Kidney,mnncorrect,cell_type_entropy,0.085
Tm_comb_Kidney,scanorama,batch_entropy,0.597
Tm_comb_Kidney,scanorama,cell_type_entropy,0.091
Tm_comb_Kidney,seurat3,batch_entropy,0.548
Tm_comb_Kidney,seurat3,cell_type_entropy,0.084
Tm_comb_Liver,combat,batch_entropy,0.081
Tm_comb_Liver,combat,cell_type_entropy,0.073
Tm_comb_Liver,fastmnn,batch_entropy,0.309
Tm_comb_Liver,fastmnn,cell_type_entropy,0.088
Tm_comb_Liver,harmony,batch_entropy,0.279
Tm_comb_Liver,harmony,cell_type_entropy,0.145
Tm_comb_Liver,limma,batch_entropy,0.065
Tm_comb_Liver,limma,cell_type_entropy,0.073
Tm_comb_Liver,logcounts,batch_entropy,0.011
Tm_comb_Liver,logcounts,cell_type_entropy,0.081
Tm_comb_Liver,mnncorrect,batch_entropy,0.11
Tm_comb_Liver,mnncorrect,cell_type_entropy,0.071
Tm_comb_Liver,scanorama,batch_entropy,0.316
Tm_comb_Liver,scanorama,cell_type_entropy,0.097
Tm_comb_Liver,seurat3,batch_entropy,0.744
Tm_comb_Liver,seurat3,cell_type_entropy,0.157
Tm_comb_Lung,combat,batch_entropy,0.171
Tm_comb_Lung,combat,cell_type_entropy,0.041
Tm_comb_Lung,fastmnn,batch_entropy,0.406
Tm_comb_Lung,fastmnn,cell_type_entropy,0.036
Tm_comb_Lung,harmony,batch_entropy,0.133
Tm_comb_Lung,harmony,cell_type_entropy,0.063
Tm_comb_Lung,limma,batch_entropy,0.06
Tm_comb_Lung,limma,cell_type_entropy,0.045
Tm_comb_Lung,logcounts,batch_entropy,0.008
Tm_comb_Lung,logcounts,cell_type_entropy,0.045
Tm_comb_Lung,mnncorrect,batch_entropy,0.165
Tm_comb_Lung,mnncorrect,cell_type_entropy,0.041
Tm_comb_Lung,scanorama,batch_entropy,0.576
Tm_comb_Lung,scanorama,cell_type_entropy,0.039
Tm_comb_Lung,seurat3,batch_entropy,0.745
Tm_comb_Lung,seurat3,cell_type_entropy,0.034
Tm_comb_Mammary,combat,batch_entropy,0.049
Tm_comb_Mammary,combat,cell_type_entropy,0.043
Tm_comb_Mammary,fastmnn,batch_entropy,0.293
Tm_comb_Mammary,fastmnn,cell_type_entropy,0.055
Tm_comb_Mammary,harmony,batch_entropy,0.017
Tm_comb_Mammary,harmony,cell_type_entropy,0.101
Tm_comb_Mammary,limma,batch_entropy,0.074
Tm_comb_Mammary,limma,cell_type_entropy,0.043
Tm_comb_Mammary,logcounts,batch_entropy,0.009
Tm_comb_Mammary,logcounts,cell_type_entropy,0.043
Tm_comb_Mammary,mnncorrect,batch_entropy,0.142
Tm_comb_Mammary,mnncorrect,cell_type_entropy,0.038
Tm_comb_Mammary,scanorama,batch_entropy,0.356
Tm_comb_Mammary,scanorama,cell_type_entropy,0.07
Tm_comb_Mammary,seurat3,batch_entropy,0.619
Tm_comb_Mammary,seurat3,cell_type_entropy,0.146
Tm_comb_Marrow,combat,batch_entropy,0.153
Tm_comb_Marrow,combat,cell_type_entropy,0.064
Tm_comb_Marrow,fastmnn,batch_entropy,0.414
Tm_comb_Marrow,fastmnn,cell_type_entropy,0.103
Tm_comb_Marrow,harmony,batch_entropy,0.414
Tm_comb_Marrow,harmony,cell_type_entropy,0.15
Tm_comb_Marrow,limma,batch_entropy,0.059
Tm_comb_Marrow,limma,cell_type_entropy,0.055
Tm_comb_Marrow,logcounts,batch_entropy,0.004
Tm_comb_Marrow,logcounts,cell_type_entropy,0.051
Tm_comb_Marrow,mnncorrect,batch_entropy,0.151
Tm_comb_Marrow,mnncorrect,cell_type_entropy,0.068
Tm_comb_Marrow,scanorama,batch_entropy,0.334
Tm_comb_Marrow,scanorama,cell_type_entropy,0.077
Tm_comb_Marrow,seurat3,batch_entropy,0.779
Tm_comb_Marrow,seurat3,cell_type_entropy,0.125
Tm_comb_Muscle,combat,batch_entropy,0.219
Tm_comb_Muscle,combat,cell_type_entropy,0.071
Tm_comb_Muscle,fastmnn,batch_entropy,0.389
Tm_comb_Muscle,fastmnn,cell_type_entropy,0.083
Tm_comb_Muscle,harmony,batch_entropy,0.044
Tm_comb_Muscle,harmony,cell_type_entropy,0.099
Tm_comb_Muscle,limma,batch_entropy,0.131
Tm_comb_Muscle,limma,cell_type_entropy,0.078
Tm_comb_Muscle,logcounts,batch_entropy,0.009
Tm_comb_Muscle,logcounts,cell_type_entropy,0.068
Tm_comb_Muscle,mnncorrect,batch_entropy,0.29
Tm_comb_Muscle,mnncorrect,cell_type_entropy,0.076
Tm_comb_Muscle,scanorama,batch_entropy,0.568
Tm_comb_Muscle,scanorama,cell_type_entropy,0.09
Tm_comb_Muscle,seurat3,batch_entropy,0.767
Tm_comb_Muscle,seurat3,cell_type_entropy,0.105
Tm_comb_Thymus,combat,batch_entropy,0.539
Tm_comb_Thymus,combat,cell_type_entropy,0.089
Tm_comb_Thymus,fastmnn,batch_entropy,0.635
Tm_comb_Thymus,fastmnn,cell_type_entropy,0.08
Tm_comb_Thymus,harmony,batch_entropy,0.023
Tm_comb_Thymus,harmony,cell_type_entropy,0.085
Tm_comb_Thymus,limma,batch_entropy,0.52
Tm_comb_Thymus,limma,cell_type_entropy,0.1
Tm_comb_Thymus,logcounts,batch_entropy,0.008
Tm_comb_Thymus,logcounts,cell_type_entropy,0.093
Tm_comb_Thymus,mnncorrect,batch_entropy,0.175
Tm_comb_Thymus,mnncorrect,cell_type_entropy,0.083
Tm_comb_Thymus,scanorama,batch_entropy,0.71
Tm_comb_Thymus,scanorama,cell_type_entropy,0.109
Tm_comb_Thymus,seurat3,batch_entropy,0.748
Tm_comb_Thymus,seurat3,cell_type_entropy,0.081
Tm_comb_Tongue,combat,batch_entropy,0.403
Tm_comb_Tongue,combat,cell_type_entropy,0.164
Tm_comb_Tongue,fastmnn,batch_entropy,0.223
Tm_comb_Tongue,fastmnn,cell_type_entropy,0.154
Tm_comb_Tongue,harmony,batch_entropy,0.009
Tm_comb_Tongue,harmony,cell_type_entropy,0.176
Tm_comb_Tongue,limma,batch_entropy,0.294
Tm_comb_Tongue,limma,cell_type_entropy,0.164
Tm_comb_Tongue,logcounts,batch_entropy,0.005
Tm_comb_Tongue,logcounts,cell_type_entropy,0.164
