source,tissue,dataset,type,cell_type,method,score
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,Claude-3.7,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,Claude-4.1,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,DeepSeek-R1,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,Doubao-1.6,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,Gemini-2.5,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,GPT-5,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,Grok-3,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,Grok-4,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,Kimi-k2,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,CellMarker2.0,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,ScType,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,B cell,SingleR,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,Doubao-1.6,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,Gemini-2.5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,CellMarker2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,ScType,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Ciliated,SingleR,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,Doubao-1.6,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,Gemini-2.5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,CellMarker2.0,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,ScType,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Endothelium,SingleR,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,Doubao-1.6,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,Gemini-2.5,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,CellMarker2.0,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,ScType,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Fibroblast,SingleR,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,Doubao-1.6,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,Gemini-2.5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,CellMarker2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,ScType,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,SingleR,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Doubao-1.6,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Gemini-2.5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,CellMarker2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,ScType,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,SingleR,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Doubao-1.6,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Gemini-2.5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,CellMarker2.0,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,ScType,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,SingleR,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,DeepSeek-R1,1
