source,tissue,dataset,cell_type,manual_broadtype,method,agreement,broadtype
Azimuth,PBMC,Azimuth_PBMC,Intermediate B cell,b cell,GPT-4,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Intermediate B cell,b cell,GPT-4-mar2023,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Intermediate B cell,b cell,GPT-3.5,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Intermediate B cell,b cell,CellMarker2.0,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Memory B cell,b cell,GPT-4,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Memory B cell,b cell,GPT-4-mar2023,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Memory B cell,b cell,GPT-3.5,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Memory B cell,b cell,CellMarker2.0,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Naive B cell,b cell,GPT-4,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Naive B cell,b cell,GPT-4-mar2023,1,b cell
Azimuth,PBMC,Azimuth_PBMC,Naive B cell,b cell,GPT-3.5,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Naive B cell,b cell,CellMarker2.0,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Plasmablast,b cell,GPT-4,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Plasmablast,b cell,GPT-4-mar2023,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Plasmablast,b cell,GPT-3.5,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,Plasmablast,b cell,CellMarker2.0,0.5,b cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Cytotoxic T,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Cytotoxic T,t/nk cell,GPT-4-mar2023,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Cytotoxic T,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Cytotoxic T,t/nk cell,CellMarker2.0,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Naive T,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Naive T,t/nk cell,GPT-4-mar2023,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Naive T,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Naive T,t/nk cell,CellMarker2.0,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Proliferating T,t/nk cell,GPT-4,0,
Azimuth,PBMC,Azimuth_PBMC,CD4+ Proliferating T,t/nk cell,GPT-4-mar2023,0,
Azimuth,PBMC,Azimuth_PBMC,CD4+ Proliferating T,t/nk cell,GPT-3.5,0,
Azimuth,PBMC,Azimuth_PBMC,CD4+ Proliferating T,t/nk cell,CellMarker2.0,0,
Azimuth,PBMC,Azimuth_PBMC,CD4+ Central Memory T,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Central Memory T,t/nk cell,GPT-4-mar2023,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Central Memory T,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Central Memory T,t/nk cell,CellMarker2.0,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Effector Memory T,t/nk cell,GPT-4,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Effector Memory T,t/nk cell,GPT-4-mar2023,1,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Effector Memory T,t/nk cell,GPT-3.5,0.5,t/nk cell
Azimuth,PBMC,Azimuth_PBMC,CD4+ Effector Memory T,t/nk cell,CellMarker2.0,0.5,t/nk cell
