method_id,dataset_id,metric_id,score
batchelor_fastmnn,cellxgene_census/dkd,ari,0.7599
batchelor_fastmnn,cellxgene_census/dkd,asw_batch,0.894
batchelor_fastmnn,cellxgene_census/dkd,asw_label,0.6657
batchelor_fastmnn,cellxgene_census/dkd,cell_cycle_conservation,0.8574
batchelor_fastmnn,cellxgene_census/dkd,clisi,1
batchelor_fastmnn,cellxgene_census/dkd,graph_connectivity,0.9745
batchelor_fastmnn,cellxgene_census/dkd,hvg_overlap,
batchelor_fastmnn,cellxgene_census/dkd,ilisi,0.272
batchelor_fastmnn,cellxgene_census/dkd,isolated_label_asw,
batchelor_fastmnn,cellxgene_census/dkd,isolated_label_f1,
batchelor_fastmnn,cellxgene_census/dkd,kbet,0.3806
batchelor_fastmnn,cellxgene_census/dkd,nmi,0.829
batchelor_fastmnn,cellxgene_census/dkd,pcr,0.5339
batchelor_fastmnn,cellxgene_census/gtex_v9,ari,0.6342
batchelor_fastmnn,cellxgene_census/gtex_v9,asw_batch,0.8696
batchelor_fastmnn,cellxgene_census/gtex_v9,asw_label,0.5052
batchelor_fastmnn,cellxgene_census/gtex_v9,cell_cycle_conservation,0.8279
batchelor_fastmnn,cellxgene_census/gtex_v9,clisi,0.9981
batchelor_fastmnn,cellxgene_census/gtex_v9,graph_connectivity,0.8969
batchelor_fastmnn,cellxgene_census/gtex_v9,hvg_overlap,
batchelor_fastmnn,cellxgene_census/gtex_v9,ilisi,0.0737
batchelor_fastmnn,cellxgene_census/gtex_v9,isolated_label_asw,0.536
batchelor_fastmnn,cellxgene_census/gtex_v9,isolated_label_f1,0.018
batchelor_fastmnn,cellxgene_census/gtex_v9,kbet,0.3386
batchelor_fastmnn,cellxgene_census/gtex_v9,nmi,0.7879
batchelor_fastmnn,cellxgene_census/gtex_v9,pcr,0
batchelor_fastmnn,cellxgene_census/hypomap,ari,0.3749
batchelor_fastmnn,cellxgene_census/hypomap,asw_batch,0.8452
batchelor_fastmnn,cellxgene_census/hypomap,asw_label,0.6002
batchelor_fastmnn,cellxgene_census/hypomap,cell_cycle_conservation,0.7325
batchelor_fastmnn,cellxgene_census/hypomap,clisi,1
batchelor_fastmnn,cellxgene_census/hypomap,graph_connectivity,0.8986
batchelor_fastmnn,cellxgene_census/hypomap,hvg_overlap,
batchelor_fastmnn,cellxgene_census/hypomap,ilisi,0.0005
batchelor_fastmnn,cellxgene_census/hypomap,isolated_label_asw,0.2582
batchelor_fastmnn,cellxgene_census/hypomap,isolated_label_f1,0.0028
batchelor_fastmnn,cellxgene_census/hypomap,kbet,
batchelor_fastmnn,cellxgene_census/hypomap,nmi,0.6712
batchelor_fastmnn,cellxgene_census/hypomap,pcr,0.2967
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,ari,0.6117
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,asw_batch,0.9133
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,asw_label,0.5616
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,cell_cycle_conservation,0.6545
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,clisi,0.9955
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,graph_connectivity,0.9701
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,hvg_overlap,
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,ilisi,0.1583
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,isolated_label_asw,0.5385
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,isolated_label_f1,0.0049
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,kbet,0.3092
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,nmi,0.7425
batchelor_fastmnn,cellxgene_census/immune_cell_atlas,pcr,0.4152
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,ari,0.565
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,asw_batch,0.8708
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,asw_label,0.6043
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,cell_cycle_conservation,0.8459
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,clisi,1
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,graph_connectivity,0.9719
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,hvg_overlap,
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,ilisi,0.0605
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,isolated_label_asw,0.7868
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,isolated_label_f1,0.8543
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,kbet,
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,nmi,0.7877
batchelor_fastmnn,cellxgene_census/mouse_pancreas_atlas,pcr,0.2749
batchelor_fastmnn,cellxgene_census/tabula_sapiens,ari,0.4406
batchelor_fastmnn,cellxgene_census/tabula_sapiens,asw_batch,0.853
batchelor_fastmnn,cellxgene_census/tabula_sapiens,asw_label,0.4891
batchelor_fastmnn,cellxgene_census/tabula_sapiens,cell_cycle_conservation,0.7692
batchelor_fastmnn,cellxgene_census/tabula_sapiens,clisi,0.9972
batchelor_fastmnn,cellxgene_census/tabula_sapiens,graph_connectivity,0.8072
batchelor_fastmnn,cellxgene_census/tabula_sapiens,hvg_overlap,
batchelor_fastmnn,cellxgene_census/tabula_sapiens,ilisi,0.039
batchelor_fastmnn,cellxgene_census/tabula_sapiens,isolated_label_asw,0.5181
batchelor_fastmnn,cellxgene_census/tabula_sapiens,isolated_label_f1,0.0364
batchelor_fastmnn,cellxgene_census/tabula_sapiens,kbet,0.4032
batchelor_fastmnn,cellxgene_census/tabula_sapiens,nmi,0.7331
batchelor_fastmnn,cellxgene_census/tabula_sapiens,pcr,0.2365
batchelor_mnn_correct,cellxgene_census/dkd,ari,0.757
batchelor_mnn_correct,cellxgene_census/dkd,asw_batch,0.799
batchelor_mnn_correct,cellxgene_census/dkd,asw_label,0.6657
batchelor_mnn_correct,cellxgene_census/dkd,cell_cycle_conservation,0.8692
batchelor_mnn_correct,cellxgene_census/dkd,clisi,1
batchelor_mnn_correct,cellxgene_census/dkd,graph_connectivity,0.9696
batchelor_mnn_correct,cellxgene_census/dkd,hvg_overlap,0.4293
batchelor_mnn_correct,cellxgene_census/dkd,ilisi,0.2893
batchelor_mnn_correct,cellxgene_census/dkd,isolated_label_asw,
batchelor_mnn_correct,cellxgene_census/dkd,isolated_label_f1,
batchelor_mnn_correct,cellxgene_census/dkd,kbet,0.2482
batchelor_mnn_correct,cellxgene_census/dkd,nmi,0.8248
batchelor_mnn_correct,cellxgene_census/dkd,pcr,0.5344
batchelor_mnn_correct,cellxgene_census/gtex_v9,ari,
batchelor_mnn_correct,cellxgene_census/gtex_v9,asw_batch,
batchelor_mnn_correct,cellxgene_census/gtex_v9,asw_label,
