method_id,dataset_id,metric_id,score
boostgp,tenx_visium/post_xenium/human_colon_cancer,correlation,
boostgp,tenx_visium/post_xenium/mouse_brain,correlation,
boostgp,tenx_visium/visium/human_brain_cancer,correlation,
boostgp,tenx_visium/visium/human_breast_cancer_1,correlation,
boostgp,tenx_visium/visium/human_breast_cancer_2,correlation,
boostgp,tenx_visium/visium/human_cerebellum,correlation,
boostgp,tenx_visium/visium/human_cervical_cancer,correlation,
boostgp,tenx_visium/visium/human_colorectal_cancer,correlation,
boostgp,tenx_visium/visium/human_heart,correlation,
boostgp,tenx_visium/visium/human_intestinal_cancer,correlation,
boostgp,tenx_visium/visium/human_kidney,correlation,
boostgp,tenx_visium/visium/human_lung_cancer,correlation,
boostgp,tenx_visium/visium/human_lymph_node,correlation,
boostgp,tenx_visium/visium/human_normal_prostate,correlation,
boostgp,tenx_visium/visium/human_prostate_cancer,correlation,
boostgp,tenx_visium/visium/human_skin_melanoma,correlation,
boostgp,tenx_visium/visium/mouse_brain_coronal,correlation,
boostgp,tenx_visium/visium/mouse_embryo,correlation,
boostgp,tenx_visium/visium/mouse_kidney_v1,correlation,-0.0166
boostgp,tenx_visium/visium/mouse_olfactory_bulb,correlation,0.0302
boostgp,zenodo_spatial/dbitseq/mouse_e10_brain,correlation,-0.1852
boostgp,zenodo_spatial/dbitseq/mouse_e10_eye,correlation,
boostgp,zenodo_spatial/dbitseq/mouse_e10_whole_body,correlation,-0.0717
boostgp,zenodo_spatial/dbitseq/mouse_e11_1,correlation,-0.0034
boostgp,zenodo_spatial/dbitseq/mouse_e11_2,correlation,-0.081
boostgp,zenodo_spatial/dbitseq/mouse_e11_lower_body,correlation,-0.0099
boostgp,zenodo_spatial/merfish/human_cortex_1,correlation,
boostgp,zenodo_spatial/merfish/human_cortex_2,correlation,
boostgp,zenodo_spatial/merfish/human_cortex_3,correlation,
boostgp,zenodo_spatial/merfish/human_cortex_4,correlation,
boostgp,zenodo_spatial/merfish/mouse_cortex,correlation,
boostgp,zenodo_spatial/seqfish/mouse_organogenesis_seqfish,correlation,
boostgp,zenodo_spatial/slideseqv2/mouse_cerebellum,correlation,
boostgp,zenodo_spatial/slideseqv2/mouse_cortex,correlation,
boostgp,zenodo_spatial/slideseqv2/mouse_hippocampus_puck,correlation,
boostgp,zenodo_spatial/slideseqv2/mouse_olfactory_bulb_puck,correlation,
boostgp,zenodo_spatial/slideseqv2/mouse_somatosensory_cortex_puck,correlation,
boostgp,zenodo_spatial/starmap/mouse_brain_2d_zstep10_0,correlation,
boostgp,zenodo_spatial/starmap/mouse_brain_2d_zstep15_0,correlation,
boostgp,zenodo_spatial/stereoseq/drosophila_embryo_e10,correlation,0
boostgp,zenodo_spatial/stereoseq/drosophila_embryo_e5_6,correlation,-0.0617
boostgp,zenodo_spatial/stereoseq/drosophila_embryo_e6_3,correlation,
boostgp,zenodo_spatial/stereoseq/drosophila_embryo_e7,correlation,-0.0309
boostgp,zenodo_spatial/stereoseq/drosophila_embryo_e9_1,correlation,0.216
boostgp,zenodo_spatial/visium/human_heart_myocardial_infarction_1,correlation,
boostgp,zenodo_spatial/visium/human_heart_myocardial_infarction_2,correlation,
boostgp,zenodo_spatial_slidetags/slidetags/human_cortex,correlation,
boostgp,zenodo_spatial_slidetags/slidetags/human_skin_melanoma,correlation,
boostgp,zenodo_spatial_slidetags/slidetags/human_tonsil,correlation,
boostgp,zenodo_spatial_slidetags/slidetags/mouse_embryo,correlation,
gpcounts,tenx_visium/post_xenium/human_colon_cancer,correlation,0.7528
gpcounts,tenx_visium/post_xenium/mouse_brain,correlation,0.9775
gpcounts,tenx_visium/visium/human_brain_cancer,correlation,0.9215
gpcounts,tenx_visium/visium/human_breast_cancer_1,correlation,0.496
gpcounts,tenx_visium/visium/human_breast_cancer_2,correlation,0.6204
