dataset,method,metric,score
immune_cell_hum,DESC,ARI,0.429853
immune_cell_hum,DESC,ARI,0.386511
immune_cell_hum,DESC,ASW,0.63543
immune_cell_hum,DESC,ASW,0.62506
immune_cell_hum,DESC,LISI,0.286146
immune_cell_hum,DESC,LISI,0.201962
immune_cell_hum,DESC,kBET,0.40023
immune_cell_hum,DESC,kBET,0.38796
immune_cell_hum,SAUCIE,ARI,0.365481
immune_cell_hum,SAUCIE,ARI,0.380679
immune_cell_hum,SAUCIE,ASW,0.547338
immune_cell_hum,SAUCIE,ASW,0.531266
immune_cell_hum,SAUCIE,LISI,0.283083
immune_cell_hum,SAUCIE,LISI,0.220172
immune_cell_hum,SAUCIE,kBET,0.294406
immune_cell_hum,SAUCIE,kBET,0.268792
immune_cell_hum,scANVI,ARI,0.876167
immune_cell_hum,scANVI,ARI,0.883977
immune_cell_hum,scANVI,ASW,0.61807
immune_cell_hum,scANVI,ASW,0.606602
immune_cell_hum,scANVI,LISI,0.247797
immune_cell_hum,scANVI,LISI,0.246285
immune_cell_hum,scANVI,kBET,0.217186
immune_cell_hum,scANVI,kBET,0.223629
immune_cell_hum,scGen,ARI,0.909003
immune_cell_hum,scGen,ARI,0.857065
immune_cell_hum,scGen,ASW,0.742776
immune_cell_hum,scGen,ASW,0.741453
immune_cell_hum,scGen,LISI,0.261892
immune_cell_hum,scGen,LISI,0.261487
immune_cell_hum,scGen,kBET,0.372596
immune_cell_hum,scGen,kBET,0.369844
immune_cell_hum,scVI,ARI,0.829557
immune_cell_hum,scVI,ARI,0.796606
immune_cell_hum,scVI,ASW,0.571005
immune_cell_hum,scVI,ASW,0.565648
immune_cell_hum,scVI,LISI,0.266203
immune_cell_hum,scVI,LISI,0.252526
immune_cell_hum,scVI,kBET,0.224509
immune_cell_hum,scVI,kBET,0.20896
immune_cell_hum,trVAE,ARI,0.552558
immune_cell_hum,trVAE,ARI,0.426925
immune_cell_hum,trVAE,ASW,0.466589
immune_cell_hum,trVAE,ASW,0.520535
immune_cell_hum,trVAE,LISI,0.306259
immune_cell_hum,trVAE,LISI,0.0802091
immune_cell_hum,trVAE,kBET,0.294113
immune_cell_hum,trVAE,kBET,0.125922
immune_cell_hum_mou,DESC,ARI,0.356454
immune_cell_hum_mou,DESC,ARI,0.37513
immune_cell_hum_mou,DESC,ASW,0.52168
immune_cell_hum_mou,DESC,ASW,0.519279
immune_cell_hum_mou,DESC,LISI,0.0862975
immune_cell_hum_mou,DESC,LISI,0.0787575
immune_cell_hum_mou,DESC,kBET,0.123741
immune_cell_hum_mou,DESC,kBET,0.157902
immune_cell_hum_mou,SAUCIE,ARI,0.199788
immune_cell_hum_mou,SAUCIE,ARI,0.230592
immune_cell_hum_mou,SAUCIE,ASW,0.365944
immune_cell_hum_mou,SAUCIE,ASW,0.318429
immune_cell_hum_mou,SAUCIE,LISI,0.0934545
immune_cell_hum_mou,SAUCIE,LISI,0.0872883
immune_cell_hum_mou,SAUCIE,kBET,0.0718759
immune_cell_hum_mou,SAUCIE,kBET,0.0674996
immune_cell_hum_mou,scANVI,ARI,0.612477
immune_cell_hum_mou,scANVI,ARI,0.455761
immune_cell_hum_mou,scANVI,ASW,0.569162
immune_cell_hum_mou,scANVI,ASW,0.547441
immune_cell_hum_mou,scANVI,LISI,0.068181
immune_cell_hum_mou,scANVI,LISI,0.0593328
immune_cell_hum_mou,scANVI,kBET,0.060845
immune_cell_hum_mou,scANVI,kBET,0.0433482
