dataset,method,metric,score
immune_cell_hum,combat,ARI,0.5420392638653789
immune_cell_hum,combat,ARI,0.605786277914715
immune_cell_hum,combat,ASW,0.558271035552025
immune_cell_hum,combat,ASW,0.566927902400494
immune_cell_hum,combat,LISI,0.0773942640364669
immune_cell_hum,combat,LISI,0.110396954140436
immune_cell_hum,combat,kBET,0.036851629941075
immune_cell_hum,combat,kBET,0.058856687368505
immune_cell_hum,fastmnn,ARI,0.7318885967048541
immune_cell_hum,fastmnn,ARI,0.8011560663480909
immune_cell_hum,fastmnn,ASW,0.579036227840208
immune_cell_hum,fastmnn,ASW,0.597189156602027
immune_cell_hum,fastmnn,LISI,0.216571102183522
immune_cell_hum,fastmnn,LISI,0.254554067840577
immune_cell_hum,fastmnn,kBET,0.2474391835351805
immune_cell_hum,fastmnn,kBET,0.3602813519439513
immune_cell_hum,harmony,ARI,0.6399190071918089
immune_cell_hum,harmony,ARI,0.8189702779360992
immune_cell_hum,harmony,ASW,0.532149220008488
immune_cell_hum,harmony,ASW,0.571753425620639
immune_cell_hum,harmony,LISI,0.300485314702617
immune_cell_hum,harmony,LISI,0.340842927045308
immune_cell_hum,harmony,kBET,0.0980581515831697
immune_cell_hum,harmony,kBET,0.2348589205377838
immune_cell_hum,liger,ARI,0.566048164143429
immune_cell_hum,liger,ARI,0.652654154878457
immune_cell_hum,liger,ASW,0.5717867082971241
immune_cell_hum,liger,ASW,0.5731012104723979
immune_cell_hum,liger,LISI,0.341262009226254
immune_cell_hum,liger,LISI,0.3564486669814171
immune_cell_hum,liger,kBET,0.3944951552970529
immune_cell_hum,liger,kBET,0.4501659684394337
immune_cell_hum,scanorama,ARI,0.533577815179809
immune_cell_hum,scanorama,ARI,0.7958241005999829
immune_cell_hum,scanorama,ASW,0.558234495438224
immune_cell_hum,scanorama,ASW,0.579977275392846
immune_cell_hum,scanorama,LISI,0.165180195961867
immune_cell_hum,scanorama,LISI,0.1777107186835549
immune_cell_hum,scanorama,kBET,0.1666071805509633
immune_cell_hum,scanorama,kBET,0.1927558366970578
immune_cell_hum_mou,combat,ARI,0.387489031049635
immune_cell_hum_mou,combat,ARI,0.418517365569206
immune_cell_hum_mou,combat,ASW,0.470105698332191
immune_cell_hum_mou,combat,ASW,0.488563408143818
immune_cell_hum_mou,combat,LISI,0.0463784504388829
immune_cell_hum_mou,combat,LISI,0.067213261470044
immune_cell_hum_mou,combat,kBET,0.0250731806104285
immune_cell_hum_mou,combat,kBET,0.0331719011068791
immune_cell_hum_mou,fastmnn,ARI,0.460214504104787
immune_cell_hum_mou,fastmnn,ARI,0.538022264648625
immune_cell_hum_mou,fastmnn,ASW,0.510679040604577
immune_cell_hum_mou,fastmnn,ASW,0.524582739633978
immune_cell_hum_mou,fastmnn,LISI,0.058163661766542
immune_cell_hum_mou,fastmnn,LISI,0.065643318259564
immune_cell_hum_mou,fastmnn,kBET,0.0704185917907211
immune_cell_hum_mou,fastmnn,kBET,0.0989555403269082
immune_cell_hum_mou,harmony,ARI,0.31761627573293
immune_cell_hum_mou,harmony,ARI,0.34926733398382
immune_cell_hum_mou,harmony,ASW,0.342645838872038
immune_cell_hum_mou,harmony,ASW,0.439061315953012
immune_cell_hum_mou,harmony,LISI,0.049413884399484
immune_cell_hum_mou,harmony,LISI,0.083355073904982
immune_cell_hum_mou,harmony,kBET,0.0237186410377413
