dataset,scenario,method,metric,score
bct,full_annotated_supervised,ItClust,ARI_cluster/label,0.999187
bct,full_annotated_supervised,ItClust,ASW_label,0.978693
bct,full_annotated_supervised,ItClust,ASW_label/batch,0.889558
bct,full_annotated_supervised,ItClust,NMI_cluster/label,0.997495
bct,full_annotated_supervised,ItClust,graph_conn,1
bct,full_annotated_supervised,ItClust,isolated_label_F1,0.999784
bct,full_annotated_supervised,ItClust,isolated_label_silhouette,0.978077
bct,full_annotated_supervised,ItClust,kBET,0.406853
bct,full_annotated_supervised,ItClust,lisi_b,0.368578
bct,full_annotated_supervised,ItClust,lisi_c,0.999758
bct,full_annotated_supervised,ItClust,lisi_f1,0.538594
bct,full_annotated_supervised,ItClust,pos_rate,0.999652
bct,full_annotated_supervised,ItClust,truepos_rate,0.552636
bct,full_annotated_supervised,STACAS,ARI_cluster/label,0.988283
bct,full_annotated_supervised,STACAS,ASW_label,0.68764
bct,full_annotated_supervised,STACAS,ASW_label/batch,0.877948
bct,full_annotated_supervised,STACAS,NMI_cluster/label,0.973115
bct,full_annotated_supervised,STACAS,graph_conn,1
bct,full_annotated_supervised,STACAS,isolated_label_F1,0.995706
bct,full_annotated_supervised,STACAS,isolated_label_silhouette,0.677556
bct,full_annotated_supervised,STACAS,kBET,0.0367791
bct,full_annotated_supervised,STACAS,lisi_b,0.104235
bct,full_annotated_supervised,STACAS,lisi_c,0.996982
bct,full_annotated_supervised,STACAS,lisi_f1,0.188737
bct,full_annotated_supervised,STACAS,pos_rate,0.997042
bct,full_annotated_supervised,STACAS,truepos_rate,0.0509831
bct,full_annotated_supervised,scANVI,ARI_cluster/label,0.979132
bct,full_annotated_supervised,scANVI,ASW_label,0.592679
bct,full_annotated_supervised,scANVI,ASW_label/batch,0.957571
bct,full_annotated_supervised,scANVI,NMI_cluster/label,0.959885
bct,full_annotated_supervised,scANVI,graph_conn,1
bct,full_annotated_supervised,scANVI,isolated_label_F1,0.989801
bct,full_annotated_supervised,scANVI,isolated_label_silhouette,0.596444
bct,full_annotated_supervised,scANVI,kBET,0.220818
bct,full_annotated_supervised,scANVI,lisi_b,0.306423
bct,full_annotated_supervised,scANVI,lisi_c,0.990703
bct,full_annotated_supervised,scANVI,lisi_f1,0.468072
bct,full_annotated_supervised,scANVI,pos_rate,0.995998
bct,full_annotated_supervised,scANVI,truepos_rate,0.350966
bct,full_annotated_supervised,scDREAMER,ARI_cluster/label,0.986269
bct,full_annotated_supervised,scDREAMER,ASW_label,0.753792
bct,full_annotated_supervised,scDREAMER,ASW_label/batch,0.937058
bct,full_annotated_supervised,scDREAMER,NMI_cluster/label,0.971715
bct,full_annotated_supervised,scDREAMER,graph_conn,1
bct,full_annotated_supervised,scDREAMER,isolated_label_F1,0.993115
bct,full_annotated_supervised,scDREAMER,isolated_label_silhouette,0.749405
bct,full_annotated_supervised,scDREAMER,kBET,0.377254
bct,full_annotated_supervised,scDREAMER,lisi_b,0.347459
bct,full_annotated_supervised,scDREAMER,lisi_c,0.997497
bct,full_annotated_supervised,scDREAMER,lisi_f1,0.515391
bct,full_annotated_supervised,scDREAMER,pos_rate,0.999826
bct,full_annotated_supervised,scDREAMER,truepos_rate,0.551766
bct,full_annotated_supervised,scGEN,ARI_cluster/label,0.984311
bct,full_annotated_supervised,scGEN,ASW_label,0.672742
bct,full_annotated_supervised,scGEN,ASW_label/batch,0.903942
bct,full_annotated_supervised,scGEN,NMI_cluster/label,0.967745
bct,full_annotated_supervised,scGEN,graph_conn,0.999776
bct,full_annotated_supervised,scGEN,isolated_label_F1,0.993995
bct,full_annotated_supervised,scGEN,isolated_label_silhouette,0.666314
bct,full_annotated_supervised,scGEN,kBET,0.187562
bct,full_annotated_supervised,scGEN,lisi_b,0.229025
bct,full_annotated_supervised,scGEN,lisi_c,0.994496
bct,full_annotated_supervised,scGEN,lisi_f1,0.372309
bct,full_annotated_supervised,scGEN,pos_rate,0.995824
bct,full_annotated_supervised,scGEN,truepos_rate,0.28554
bct,partially_annotated_batches_1,ItClust,ARI_cluster/label,0.534977
bct,partially_annotated_batches_1,ItClust,ASW_label,0.791981
bct,partially_annotated_batches_1,ItClust,ASW_label/batch,0.635309
bct,partially_annotated_batches_1,ItClust,NMI_cluster/label,0.637221
bct,partially_annotated_batches_1,ItClust,graph_conn,0.755941
bct,partially_annotated_batches_1,ItClust,kBET,0
bct,partially_annotated_batches_1,ItClust,lisi_b,0.114
bct,partially_annotated_batches_1,ItClust,lisi_c,0.909
bct,partially_annotated_batches_1,ItClust,lisi_f1,0.203
bct,partially_annotated_batches_1,ItClust,pos_rate,0.91352
bct,partially_annotated_batches_1,ItClust,truepos_rate,0
bct,partially_annotated_batches_1,scANVI,ARI_cluster/label,0.972229
bct,partially_annotated_batches_1,scANVI,ASW_label,0.583573
bct,partially_annotated_batches_1,scANVI,ASW_label/batch,0.957282
bct,partially_annotated_batches_1,scANVI,NMI_cluster/label,0.947327
bct,partially_annotated_batches_1,scANVI,graph_conn,1
bct,partially_annotated_batches_1,scANVI,kBET,0.205751
bct,partially_annotated_batches_1,scANVI,lisi_b,0.31
bct,partially_annotated_batches_1,scANVI,lisi_c,0.989
bct,partially_annotated_batches_1,scANVI,lisi_f1,0.471
bct,partially_annotated_batches_1,scANVI,pos_rate,0.99565
bct,partially_annotated_batches_1,scANVI,truepos_rate,0.344876
bct,partially_annotated_batches_1,scDREAMER,ARI_cluster/label,0.762044
bct,partially_annotated_batches_1,scDREAMER,ASW_label,0.693441
bct,partially_annotated_batches_1,scDREAMER,ASW_label/batch,0.878734
bct,partially_annotated_batches_1,scDREAMER,NMI_cluster/label,0.783903
bct,partially_annotated_batches_1,scDREAMER,graph_conn,0.999776
bct,partially_annotated_batches_1,scDREAMER,kBET,0.001416
bct,partially_annotated_batches_1,scDREAMER,lisi_b,0.151
bct,partially_annotated_batches_1,scDREAMER,lisi_c,0.996
bct,partially_annotated_batches_1,scDREAMER,lisi_f1,0.263
bct,partially_annotated_batches_1,scDREAMER,pos_rate,0.998086
bct,partially_annotated_batches_1,scDREAMER,truepos_rate,0.00295807
bct,partially_annotated_batches_1,scGEN,ARI_cluster/label,0.77441
bct,partially_annotated_batches_1,scGEN,ASW_label,0.644998
bct,partially_annotated_batches_1,scGEN,ASW_label/batch,0.905148
bct,partially_annotated_batches_1,scGEN,NMI_cluster/label,0.8048
bct,partially_annotated_batches_1,scGEN,graph_conn,1
bct,partially_annotated_batches_1,scGEN,kBET,0.008618
bct,partially_annotated_batches_1,scGEN,lisi_b,0.116
bct,partially_annotated_batches_1,scGEN,lisi_c,0.995
bct,partially_annotated_batches_1,scGEN,lisi_f1,0.207
bct,partially_annotated_batches_1,scGEN,pos_rate,0.996346
bct,partially_annotated_batches_1,scGEN,truepos_rate,0.0351488
bct,partially_annotated_batches_2,ItClust,ARI_cluster/label,0.0920748
bct,partially_annotated_batches_2,ItClust,ASW_label,0.542092
bct,partially_annotated_batches_2,ItClust,ASW_label/batch,0.521031
bct,partially_annotated_batches_2,ItClust,NMI_cluster/label,0.219781
bct,partially_annotated_batches_2,ItClust,graph_conn,0.897186
bct,partially_annotated_batches_2,ItClust,kBET,0
bct,partially_annotated_batches_2,ItClust,lisi_b,0.127
bct,partially_annotated_batches_2,ItClust,lisi_c,0.746
bct,partially_annotated_batches_2,ItClust,lisi_f1,0.217
bct,partially_annotated_batches_2,ItClust,pos_rate,0.759701
bct,partially_annotated_batches_2,ItClust,truepos_rate,0.153123
bct,partially_annotated_batches_2,scANVI,ARI_cluster/label,0.967572
bct,partially_annotated_batches_2,scANVI,ASW_label,0.581557
bct,partially_annotated_batches_2,scANVI,ASW_label/batch,0.95724
bct,partially_annotated_batches_2,scANVI,NMI_cluster/label,0.940795
bct,partially_annotated_batches_2,scANVI,graph_conn,1
bct,partially_annotated_batches_2,scANVI,kBET,0.222732
