table_name,model,R-1,R-2,R-L,METEOR,BLEU-1,BLEU-2,BLEU
SOAR-RNA Zero-shot,CellMarker2.0,31.88,13.36,31.76,23.83,41.07,18.05,27.23
SOAR-RNA Zero-shot,SingleR,16.51,5.98,16.49,2.96,24.41,0.00,0.00
SOAR-RNA Zero-shot,ScType,12.37,3.44,12.24,20.18,21.47,6.73,10.77
SOAR-RNA Zero-shot,DeepSeek-LLM-67B,33.13,13.47,32.74,24.27,28.27,10.07,16.87
SOAR-RNA Zero-shot,Qwen2-72B,32.39,14.76,32.05,29.96,18.59,6.67,11.13
SOAR-RNA Zero-shot,Llama-3-70B,30.16,13.45,29.83,27.35,22.31,8.85,14.33
SOAR-RNA Zero-shot,Mixtral-8x7B,20.95,13.40,20.78,16.94,17.61,7.16,10.23
SOAR-RNA Zero-shot,Mixtral-8x22B,39.85,18.19,39.95,28.60,42.06,19.40,29.18
SOAR-RNA Zero-shot,Cell2Sentence,26.87,11.48,26.76,19.45,25.24,11.79,17.25
SOAR-RNA Zero-shot,GPT-4o mini,52.63,27.45,52.26,41.08,45.74,23.29,32.64
SOAR-RNA Zero-shot,GPT-4o,58.45,32.07,58.12,45.39,62.85,42.68,51.79
SOAR-RNA Zero-shot-CoT,DeepSeek-LLM-67B,40.79,17.50,40.47,31.13,33.72,13.10,21.02
SOAR-RNA Zero-shot-CoT,Qwen2-72B,46.56,23.93,46.34,37.09,36.85,17.92,25.69
SOAR-RNA Zero-shot-CoT,Llama-3-70B,42.25,21.24,42.02,34.09,25.94,11.64,17.38
SOAR-RNA Zero-shot-CoT,Mixtral-8x7B,42.37,21.37,41.82,35.45,31.57,13.83,20.90
SOAR-RNA Zero-shot-CoT,Mixtral-8x22B,51.65,26.73,51.26,41.97,40.96,19.40,28.19
SOAR-RNA Zero-shot-CoT,GPT-4o mini,51.63,26.60,51.17,40.84,50.29,27.89,37.45
SOAR-RNA Zero-shot-CoT,GPT-4o,57.67,31.55,57.34,45.36,55.27,32.15,42.15
SOAR-MultiOmics RNA-seq,Qwen2-72B,21.83,6.02,20.57,11.54,20.77,5.32,10.51
SOAR-MultiOmics RNA-seq,Llama-3-70B,27.41,11.71,27.55,17.73,27.41,10.10,16.64
SOAR-MultiOmics RNA-seq,Mixtral-8x7B,33.41,18.28,33.65,26.11,33.09,18.45,24.71
SOAR-MultiOmics RNA-seq,Mixtral-8x22B,27.66,11.29,27.67,16.27,30.63,8.06,12.90
SOAR-MultiOmics RNA-seq,Cell2Sentence,28.03,18.29,28.42,20.63,41.35,35.29,38.20
SOAR-MultiOmics RNA-seq,GPT-4o mini,39.63,21.28,39.26,29.92,37.40,21.05,28.06
SOAR-MultiOmics RNA-seq,GPT-4o,41.00,23.10,41.37,30.20,43.75,26.32,33.93
SOAR-MultiOmics ATAC-seq,Qwen2-72B,19.55,8.64,18.43,11.80,16.07,3.79,7.80
SOAR-MultiOmics ATAC-seq,Llama-3-70B,31.76,13.01,31.83,19.39,29.84,10.23,17.47
SOAR-MultiOmics ATAC-seq,Mixtral-8x7B,29.71,14.95,29.36,24.21,23.08,9.77,15.02
SOAR-MultiOmics ATAC-seq,Mixtral-8x22B,30.38,13.13,30.22,19.39,24.08,8.33,12.99
SOAR-MultiOmics ATAC-seq,Cell2Sentence,26.54,10.07,26.45,17.29,36.04,22.67,28.58
SOAR-MultiOmics ATAC-seq,GPT-4o mini,38.15,17.01,37.06,28.08,35.46,17.14,24.66
SOAR-MultiOmics ATAC-seq,GPT-4o,38.47,16.88,38.31,25.23,38.84,21.18,28.68
