dataset,method,metric,rank
Dataset_1,combat,ARI,11
Dataset_1,combat,ASW,9
Dataset_1,combat,LISI,3
Dataset_1,combat,kBET,3
Dataset_1,fastmnn,ARI,4
Dataset_1,fastmnn,ASW,3
Dataset_1,fastmnn,LISI,2
Dataset_1,fastmnn,kBET,4
Dataset_1,harmony,ARI,10
Dataset_1,harmony,ASW,2
Dataset_1,harmony,LISI,7
Dataset_1,harmony,kBET,8
Dataset_1,liger,ARI,13
Dataset_1,liger,ASW,1
Dataset_1,liger,LISI,1
Dataset_1,liger,kBET,2
Dataset_1,scanorama,ARI,6
Dataset_1,scanorama,ASW,6
Dataset_1,scanorama,LISI,5
Dataset_1,scanorama,kBET,5
Dataset_10,combat,ARI,4
Dataset_10,combat,ASW,7
Dataset_10,combat,LISI,12
Dataset_10,combat,kBET,11
Dataset_10,fastmnn,ARI,10
Dataset_10,fastmnn,ASW,8
Dataset_10,fastmnn,LISI,8
Dataset_10,fastmnn,kBET,9
Dataset_10,harmony,ARI,2
Dataset_10,harmony,ASW,2
Dataset_10,harmony,LISI,2
Dataset_10,harmony,kBET,3
Dataset_10,liger,ARI,7
Dataset_10,liger,ASW,6
Dataset_10,liger,LISI,1
Dataset_10,liger,kBET,1
Dataset_10,scanorama,ARI,3
Dataset_10,scanorama,ASW,1
Dataset_10,scanorama,LISI,5
Dataset_10,scanorama,kBET,4
Dataset_2,combat,ARI,4
Dataset_2,combat,ASW,9
Dataset_2,combat,LISI,11
Dataset_2,combat,kBET,13
Dataset_2,fastmnn,ARI,2
Dataset_2,fastmnn,ASW,4
Dataset_2,fastmnn,LISI,8
Dataset_2,fastmnn,kBET,9
Dataset_2,harmony,ARI,1
Dataset_2,harmony,ASW,1
Dataset_2,harmony,LISI,3
Dataset_2,harmony,kBET,1
Dataset_2,liger,ARI,13
Dataset_2,liger,ASW,7
Dataset_2,liger,LISI,1
Dataset_2,liger,kBET,2
Dataset_2,scanorama,ARI,7
Dataset_2,scanorama,ASW,10
Dataset_2,scanorama,LISI,6
Dataset_2,scanorama,kBET,7
Dataset_4,combat,ARI,11
Dataset_4,combat,ASW,7
Dataset_4,combat,LISI,10
Dataset_4,combat,kBET,12
Dataset_4,fastmnn,ARI,10
Dataset_4,fastmnn,ASW,13
Dataset_4,fastmnn,LISI,8
Dataset_4,fastmnn,kBET,6
Dataset_4,harmony,ARI,4
Dataset_4,harmony,ASW,4
Dataset_4,harmony,LISI,5
Dataset_4,harmony,kBET,3
Dataset_4,liger,ARI,6
Dataset_4,liger,ASW,10
Dataset_4,liger,LISI,4
Dataset_4,liger,kBET,1
Dataset_4,scanorama,ARI,8
Dataset_4,scanorama,ASW,5
Dataset_4,scanorama,LISI,7
Dataset_4,scanorama,kBET,8
Dataset_5,combat,ARI,6
Dataset_5,combat,ASW,6
Dataset_5,combat,LISI,12
Dataset_5,combat,kBET,11
Dataset_5,fastmnn,ARI,3
Dataset_5,fastmnn,ASW,4
Dataset_5,fastmnn,LISI,6
Dataset_5,fastmnn,kBET,6
Dataset_5,harmony,ARI,1
Dataset_5,harmony,ASW,1
Dataset_5,harmony,LISI,4
Dataset_5,harmony,kBET,4
Dataset_5,liger,ARI,9
Dataset_5,liger,ASW,7
Dataset_5,liger,LISI,1
Dataset_5,liger,kBET,1
Dataset_5,scanorama,ARI,8
Dataset_5,scanorama,ASW,8
Dataset_5,scanorama,LISI,11
Dataset_5,scanorama,kBET,10
Dataset_6,combat,ARI,8
Dataset_6,combat,ASW,11
Dataset_6,combat,LISI,13
Dataset_6,combat,kBET,14
Dataset_6,fastmnn,ARI,12
Dataset_6,fastmnn,ASW,9
Dataset_6,fastmnn,LISI,11
Dataset_6,fastmnn,kBET,6
Dataset_6,harmony,ARI,3
Dataset_6,harmony,ASW,1
Dataset_6,harmony,LISI,3
Dataset_6,harmony,kBET,1
Dataset_6,liger,ARI,7
Dataset_6,liger,ASW,10
Dataset_6,liger,LISI,13
Dataset_6,liger,kBET,12
Dataset_6,scanorama,ARI,1
Dataset_6,scanorama,ASW,2
Dataset_6,scanorama,LISI,4
Dataset_6,scanorama,kBET,2
Dataset_7,combat,ARI,12
Dataset_7,combat,ASW,1
Dataset_7,combat,LISI,13
Dataset_7,combat,kBET,13
Dataset_7,fastmnn,ARI,9
Dataset_7,fastmnn,ASW,7
Dataset_7,fastmnn,LISI,5
Dataset_7,fastmnn,kBET,6
Dataset_7,harmony,ARI,7
Dataset_7,harmony,ASW,4
Dataset_7,harmony,LISI,8
Dataset_7,harmony,kBET,8
Dataset_7,liger,ARI,1
Dataset_7,liger,ASW,6
Dataset_7,liger,LISI,1
Dataset_7,liger,kBET,3
Dataset_7,scanorama,ARI,5
Dataset_7,scanorama,ASW,9
Dataset_7,scanorama,LISI,7
Dataset_7,scanorama,kBET,5
Dataset_8,combat,ARI,5
Dataset_8,combat,ASW,5
Dataset_8,combat,LISI,12
Dataset_8,combat,kBET,10
Dataset_8,fastmnn,ARI,11
Dataset_8,fastmnn,ASW,9
Dataset_8,fastmnn,LISI,8
Dataset_8,fastmnn,kBET,1
Dataset_8,harmony,ARI,3
Dataset_8,harmony,ASW,11
Dataset_8,harmony,LISI,2
Dataset_8,harmony,kBET,8
