dataset,method,metric,score
MAPK_ERK_signaling_in_ALL_final_bio,harmony,ARI,0.323830712424
MAPK_ERK_signaling_in_ALL_final_bio,harmony,ASW,0
MAPK_ERK_signaling_in_ALL_final_bio,harmony,kBET,0.058668513037
MAPK_ERK_signaling_in_ALL_final_bio,liger,ARI,0.159053502645
MAPK_ERK_signaling_in_ALL_final_bio,liger,ASW,0
MAPK_ERK_signaling_in_ALL_final_bio,liger,kBET,0.0473787906253
MAPK_ERK_signaling_in_ALL_final_bio,scanorama,ARI,0.26638941296
MAPK_ERK_signaling_in_ALL_final_bio,scanorama,ASW,0
MAPK_ERK_signaling_in_ALL_final_bio,scanorama,kBET,0.0599995418004
MAPK_ERK_signaling_in_Tcell_final_bio,harmony,ARI,0.620291188786
MAPK_ERK_signaling_in_Tcell_final_bio,harmony,ASW,0.179555521327
MAPK_ERK_signaling_in_Tcell_final_bio,harmony,kBET,0.0315167531518
MAPK_ERK_signaling_in_Tcell_final_bio,liger,ARI,0.261667560425
MAPK_ERK_signaling_in_Tcell_final_bio,liger,ASW,0.00529663522852
MAPK_ERK_signaling_in_Tcell_final_bio,liger,kBET,0.605458010596
MAPK_ERK_signaling_in_Tcell_final_bio,scanorama,ARI,0.596173456595
MAPK_ERK_signaling_in_Tcell_final_bio,scanorama,ASW,0.129766035241
MAPK_ERK_signaling_in_Tcell_final_bio,scanorama,kBET,0.478064871483
